"County","Sector","2018","2017","2016","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003","2002","2001","Total Usage"
"ALAMEDA","Non-Residential","    7367.119929","    8108.827570","    7891.021676","    7357.909168","    7422.865469","    7647.457064","    7601.906546","    7964.101144","    7706.530425","    7348.677752","    8187.679756","    8770.552032","    8067.962419","    8044.391442","    7776.455865","    7665.089562","    7614.472072","    7443.645832","  139986.665723"
"ALAMEDA","Residential","    2976.772434","    2997.541830","    2923.672818","    2899.423542","    2895.491569","    2987.473944","    3000.871672","    3025.991830","    3022.056087","    3016.614983","    2996.156961","    2971.616958","    3118.382750","    3025.561684","    2898.154798","    2937.329874","    2811.727614","    2745.259357","   53250.100705"
"ALPINE","Non-Residential","       9.232980","       9.025215","       8.124741","       4.354396","       4.008389","       4.752038","       4.590161","       5.199864","       5.203784","       5.234789","       9.368614","      10.685739","       9.377073","       9.132023","       9.431229","       5.112883","       4.671739","       5.081493","     122.587150"
"ALPINE","Residential","       9.444155","       9.951697","       9.290913","      11.855504","      11.974975","      13.424431","       9.298178","       9.093424","      12.451971","      13.029405","       8.899778","       9.326645","       9.537211","       8.090874","       8.996372","       6.352394","       6.720953","       6.858448","     174.597328"
"AMADOR","Non-Residential","     160.475787","     169.612048","     173.832142","     152.643553","     154.793331","     170.867308","     180.777774","     169.979564","     175.751430","     184.051066","     188.044147","     179.985237","     165.207077","     160.639866","     165.145971","     142.213818","     135.648466","     184.203109","    3013.871694"
"AMADOR","Residential","     138.678985","     143.907989","     135.803182","     132.980232","     134.805266","     139.516716","     141.039818","     140.241620","     139.982404","     142.947730","     144.135365","     142.626229","     142.579005","     134.486227","     135.731053","     129.232694","     126.498194","     121.406460","    2466.599169"
"BUTTE","Non-Residential","     746.363643","     769.610424","     760.806386","     780.488761","     770.622394","     773.447012","     768.594002","     713.419067","     707.453703","     724.516621","     746.736926","     800.564412","     719.683097","     672.357872","     688.024349","     665.800743","     710.564686","     643.683571","   13162.737669"
"BUTTE","Residential","     728.296655","     764.882232","     725.718157","     716.501321","     721.286274","     730.982498","     739.536468","     726.302478","     719.403746","     731.892206","     724.065281","     715.052735","     708.685816","     686.092268","     689.915946","     658.820517","     638.765166","     604.727634","   12730.927398"
"CALAVERAS","Non-Residential","     128.607948","     132.581163","     117.148249","     119.382018","     126.035900","     125.859211","     124.029168","     124.456822","     116.893714","     121.260187","     119.359437","     122.330582","     123.266048","     119.895649","      99.087106","      94.780181","      97.364260","      86.515141","    2098.852784"
"CALAVERAS","Residential","     204.490036","     215.147744","     198.752467","     191.705184","     192.867729","     200.018332","     201.710548","     200.629843","     198.068763","     202.050995","     200.684529","     199.904684","     195.080656","     187.987183","     189.278127","     177.277281","     175.359697","     168.848427","    3499.862225"
"COLUSA","Non-Residential","     232.370117","     227.604484","     234.227066","     244.513369","     240.570148","     234.065914","     213.971475","     206.446520","     193.040212","     200.037944","     193.074400","     186.483865","     183.224933","     184.719636","     175.423030","     163.501641","     198.647619","     196.950031","    3708.872404"
"COLUSA","Residential","      66.341285","      68.631324","      64.983202","      64.437041","      64.870282","      64.849594","      65.669299","      64.398060","      63.431713","      65.593007","      64.254493","      64.189496","      65.001533","      63.477249","      59.635552","      58.228832","      54.718416","      53.398152","    1136.108530"
"CONTRA COSTA","Non-Residential","    6470.015417","    6842.799382","    6879.130774","    6776.011140","    6864.617995","    6400.845658","    6324.077383","    6350.149214","    6380.867319","    6305.439747","    6567.125112","    5855.006770","    5928.926073","    5838.549807","    5885.971333","    5705.085899","    5547.976541","    5858.847782","  112781.443346"
"CONTRA COSTA","Residential","    2838.479038","    2898.220795","    2764.370282","    2742.073498","    2740.240644","    2771.722517","    2770.143237","    2751.599891","    2733.989451","    2787.812326","    2784.644845","    2738.315780","    2745.485523","    2662.061392","    2650.015448","    2540.188182","    2484.832635","    2371.265356","   48775.460840"
